Case Status,Legislation,ICOCaseRef,Received Date,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-353355-Z2N1,02/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Health,Secondary care,Somerset NHS Foundation Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-350403-Z6Z7,11/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Social care,Residential care,Stoneywood Care Services Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353339-V3X7,02/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Charitable and voluntary,Local charities,Swaledale Mountain Rescue Team CIO,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353431-M1C5,03/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Religious,Religious organisations,The Bishop of Peterborough,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353215-D1P6,24/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Health,General Practitioner,The Nelson Medical Practice,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-288799-L8H5,15/02/2024,2024,2023/24,Q4,11-Feb,03/01/2025,2025,2024/25,Q4,10-Jan,Health,Secondary care,West London NHS Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-308734-G4Y7,23/05/2024,2024,2024/25,Q1,02-May,03/01/2025,2025,2024/25,Q4,10-Jan,Health,Secondary care,West London NHS Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-351102-X5K4,13/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Accountancy and Payroll,Wilder Coe Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-350896-R4W0,12/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Transport and leisure,Haulage,Wincanton Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-353266-N4D0,28/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Legal,Legal professionals,Anon DC,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-353218-W3R3,29/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Online Technology and Telecoms,Service providers,Arrow Business Communications Limited,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-353425-P7Q5,03/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Charitable and voluntary,Local charities,British Association for American Studies,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-353376-D5Q6,03/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Education and childcare,Training Company,EduGrow Consulting Limited,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-353268-Z8W0,30/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Social care,Domiciliary care,Fusco Browne Healthcare Ltd,No Further Action,Not PDB,Unassigned,No
Completed,GDPR,IC-353208-W2C0,27/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Online Technology and Telecoms,Gaming,Greentube Alderney Ltd (Admiral Casino),No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-352859-C3C1,23/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Retail and manufacture,Supplier of goods,HOLT JCB LIMITED,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-349786-B4D3,08/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Marketing,Marketing providers,Informa ABI Limited (Barbour ABI Limited),No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-350563-P7C5,11/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Retail and manufacture,Supplier of services,Maximum Availability Limited,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-353222-N6Q1,27/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Charitable and voluntary,National charities,Nightingale Hammerson Trustee Company Limited,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-353204-C3R8,24/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Transport and leisure,Bar and restaurant,Punch Pubs & Co,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-352605-M4V2,19/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Parish, community and town councils",Sheringham Town Council,No Further Action,Not PDB,Unassigned,No
Completed,GDPR,IC-353209-D9F9,26/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Accountancy and Payroll,Systems Accountants,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-353394-L0T9,03/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Transport and leisure,Entertainment providers,The Football Pools Limited,No Further Action,Not PDB,Unassigned,No
