Case Status,Legislation,ICOCaseRef,Received Datetime,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Completed Financial Week,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-315793-W9N7,26/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Community School,Manchester Hospital School,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316431-R6S9,28/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Maintained schools,Middlesex Learning Partnership Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316766-P3H5,01/07/2024,2024,2024/25,Q2,04-Jul,02/07/2024,2024,2024/25,Q2,04-Jul,14,Charitable and voluntary,Local charities,North Stoneham Community Group,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316092-C7K6,27/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Charitable and voluntary,Local charities,PATH (YORKSHIRE) LTD,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-312473-F2J2,07/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Legal,Legal professionals,Peter Brown & Co Solicitors LLP ,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-311854-P0N1,06/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Social care,Residential care,Positive Individual Proactive Support Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316618-S0V7,01/07/2024,2024,2024/25,Q2,04-Jul,02/07/2024,2024,2024/25,Q2,04-Jul,14,Retail and manufacture,Manufacturing,Raybloc (X-Ray Protection) Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316345-S0M4,28/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,"Finance, insurance and credit",Pensions,RSPCA Pension Scheme LTD,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-315389-G3L9,24/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Local government,Representative and arm's length bodies,South Wales Fire and Rescue Service,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-315374-Q0W8,24/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Maintained schools,Stanford Junior and Infant School,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Case Officer Review Completed,GDPR,IC-312749-T1P8,11/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Private schools,The Oratory School,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-316727-L9Y2,01/07/2024,2024,2024/25,Q2,04-Jul,02/07/2024,2024,2024/25,Q2,04-Jul,14,Health,General Practitioner,Thorpe-Le-Soken Surgery,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316382-J9H2,28/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Academy and Free Schools,West Norfolk Academies Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-314621-W8Z3,20/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Secondary care,Wye Valley NHS Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-298743-R6D6,04/04/2024,2024,2024/25,Q1,01-Apr,02/07/2024,2024,2024/25,Q2,04-Jul,14,Health,General Practitioner,York Medical Group,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-315507-D4X7,24/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Retail and manufacture,Supplier of services,Automobile Association Developments Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316301-M1J8,27/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Healthcare and pharmaceuticals,Berkeley Psychiatrists Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Case Officer Review Completed,GDPR,IC-309356-Q2S2,25/05/2024,2024,2024/25,Q1,02-May,03/07/2024,2024,2024/25,Q2,04-Jul,14,Social care,Unassigned,Blossom Care Group Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316485-D3Y4,28/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,"Finance, insurance and credit",Financial services and advice,Brydg Capital Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-314766-Q5R5,21/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Justice,Police Forces,Chief Constable North Wales Police,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-314746-Q5M9,21/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Justice,Police Forces,Chief Constable West Midlands Police,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-313666-P6Z1,14/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Community School,Coleridge Primary School,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-315096-W3H5,21/06/2024,2024,2024/25,Q1,03-Jun,03/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Academy and Free Schools,Co-op Academies Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
